 Savings 
16.42
16.42
16.42
16.42
16.15037669
16.15037669
16.15037669
16.15037669
15.411712
15.411712
15.411712
15.411712
15.742
15.742
15.742
15.742
19.413715
19.413715
19.413715
19.413715
19.413715
19.413715
19.413715
19.413715
0.75
0.75
0.75
0.75
0.72
0.72
0.72
0.72
0.77
0.77
0.77
0.77
0.72
0.72
0.72
0.72
0.75
0.75
0.75
0.75
0.72
0.72
0.72
0.72
0.77
0.77
0.77
0.77
0.72
0.72
0.72
0.72
0.75
0.75
0.75
0.75
0.72
0.72
0.72
0.72
0.77
0.77
0.77
0.77
0.72
0.72
0.72
0.72
9.975
9.975
9.975
9.975
11.05
11.05
11.05
11.05
22.63
22.63
22.63
22.63
19.66
19.66
19.66
19.66
21.37580138
21.37580138
21.37580138
21.37580138
18.4218
18.4218
18.4218
18.4218
23.732677
23.732677
23.732677
23.732677
18.179392
18.179392
18.179392
18.179392
23.732677
23.732677
23.732677
23.732677
26.18
26.18
26.18
26.18
3.7
3.7
3.7
3.7
4.4120278
4.4120278
4.4120278
4.4120278
3.7
3.7
3.7
3.7
4.4120278
4.4120278
4.4120278
4.4120278
19.45
19.45
19.45
19.45
16.916
16.916
16.916
16.916
11.54
11.54
11.54
11.54
11.54
11.54
11.54
11.54
11.54
11.54
11.54
11.54
6.78
6.78
6.78
6.78
17.164546
17.164546
17.164546
17.164546
17.164546
17.164546
17.164546
17.164546
4.05
4.05
4.05
4.05
5.07
5.07
5.07
5.07
8.547
8.547
8.547
8.547
1.06
1.06
1.06
1.06
0.860024932
0.860024932
0.860024932
0.860024932
0.82832
0.82832
0.82832
0.82832
38.21
38.21
38.21
38.21
